logged_at,trade_date,scanner,ticker,side,setup,entry,stop,target,shares,risk_dollars,gap_pct,gap_tier,stop_method,regime,spy_pct,conviction,fresh_bull_5m,path_target,path_score,rr,notes,outcome,exit_px,pnl,outcome_set_at,forward_high,forward_low
2026-05-01T14:04:09,2026-05-01,abook,BRBR,LONG,MOO,16.79,16.5381,17.2937,397,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=70 mode=PULLBACK,TARGET,17.2937,199.97,2026-05-01T23:40:48,18.01,17.15
2026-05-01T14:04:10,2026-05-01,abook,NTRA,LONG,MOO,206.16,203.0676,212.3448,32,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=83 mode=PULLBACK,STOP,203.0676,-98.96,2026-05-01T23:40:48,208.6621,202.4901
2026-05-01T14:04:11,2026-05-01,abook,UCTT,LONG,MOO,73.1,72.0035,75.293,91,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=100 mode=PULLBACK,TARGET,75.293,199.56,2026-05-01T23:40:49,76.74,73.61
2026-05-01T14:04:11,2026-05-01,abook,TVTX,LONG,MOO,42.12,41.4882,43.3836,158,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=100 mode=PULLBACK,TARGET,43.3836,199.65,2026-05-01T23:40:49,44.7,43.0
2026-05-01T14:04:12,2026-05-01,abook,HGV,LONG,MOO,46.97,46.2655,48.3791,141,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=100 mode=PULLBACK,STOP,46.2655,-99.33,2026-05-01T23:40:49,48.0,45.9
2026-05-01T14:04:12,2026-05-01,abook,PI,LONG,MOO,144.92,142.7462,149.2676,46,100.0,0.0,,FIXED,FAVORABLE,0.27,,,,,2.0,abook_rank fem=100 mode=BOUNCE,STOP,142.7462,-99.99,2026-05-01T23:40:50,151.1,140.85
2026-05-04T06:04:39,2026-05-04,abook,NTRA,LONG,MOO,207.28,204.1708,213.4984,32,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=80 mode=PULLBACK,CLOSE,211.56,136.96,2026-05-04T13:59:54,212.0,205.51
2026-05-04T06:04:40,2026-05-04,abook,NOK,LONG,MOO,13.3,13.1005,13.699,501,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=100 mode=BOUNCE,STOP,13.1005,-99.95,2026-05-04T13:59:55,13.5299,13.02
2026-05-04T06:04:40,2026-05-04,abook,WSC,LONG,MOO,22.69,22.3497,23.3707,293,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=100 mode=BOUNCE,STOP,22.3497,-99.71,2026-05-04T13:59:55,22.765,21.775
2026-05-04T06:04:41,2026-05-04,abook,ESPR,LONG,MOO,3.11,3.0633,3.2033,2143,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=100 mode=BOUNCE,CLOSE,3.12,21.43,2026-05-04T13:59:56,3.12,3.11
2026-05-04T06:04:43,2026-05-04,abook,NTRA,LONG,MOO,207.28,204.1708,213.4984,32,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=80 mode=PULLBACK,CLOSE,211.56,136.96,2026-05-04T13:59:54,212.0,205.51
2026-05-04T06:04:44,2026-05-04,abook,NOK,LONG,MOO,13.3,13.1005,13.699,501,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=100 mode=BOUNCE,STOP,13.1005,-99.95,2026-05-04T13:59:55,13.5299,13.02
2026-05-04T06:04:44,2026-05-04,abook,WSC,LONG,MOO,22.69,22.3497,23.3707,293,100.0,0.0,,FIXED,FAVORABLE,0.0,,,,,2.0,abook_rank fem=100 mode=BOUNCE,STOP,22.3497,-99.71,2026-05-04T13:59:55,22.765,21.775
